quentin_tarantino	my_best_friends_birthday
al_pacino	looking_for_richard
al_pacino	chinese_coffee
tom_hanks	that_thing_you_do
m_night_shyamalan	praying_with_anger
kamal_haasan	virumaandi
emilio_estevez	the_war_at_home_film
emilio_estevez	bobby_2006_film
emilio_estevez	wisdom_film
abel_gance	end_of_the_world_1931_film
jill_hennessy	the_acting_class
craig_ferguson	ill_be_there_film
yılmaz_güney	umut
yılmaz_güney	zavallılar
palito_ortega	amigos_para_la_aventura
palito_ortega	el_tío_disparate
palito_ortega	brigada_en_acción
wu_ma	just_heroes
alex_chandon	bad_karma_1991_film
alex_chandon	chainsaw_scumfuck
alex_chandon	night_pastor
lucas_belvaux	cavale
lucas_belvaux	nature_contre_nature
frank_buck_animal_collector	jungle_cavalcade_1941_film
lillete_dubey	lt30_Days_in_September_Playgt
dodo_abashidze	the_legend_of_suram_fortress
john_wayne	the_green_berets_film
john_wayne	the_longest_day_film
john_wayne	the_undefeated_1969_film
warren_beatty	dick_tracy_1990_film
warren_beatty	reds_film
warren_beatty	heaven_can_wait_1978_film
warren_beatty	bulworth
kenneth_branagh	henry_v_1989_film
kenneth_branagh	peters_friends
kenneth_branagh	dead_again
kenneth_branagh	loves_labours_lost_2000_film
kenneth_branagh	hamlet_1996_film
kenneth_branagh	frankenstein_1994_film
cliff_robertson	j_w_coop
cliff_robertson	the_pilot_film
chris_rock	i_think_i_love_my_wife
burt_reynolds	the_end_film
burt_reynolds	sharkys_machine_film
burt_reynolds	the_man_from_left_field
michael_keaton	the_merry_gentleman
bob_saget	becoming_dick
sunil_dutt	reshma_aur_shera
sunil_dutt	yaadein_1964_film
sunil_dutt	daaku_aur_jawan
lou_diamond_phillips	sioux_city_film
lou_diamond_phillips	dangerous_touch
lou_diamond_phillips	love_takes_wing
alan_alda	the_four_seasons_film
alan_alda	sweet_liberty
denis_leary	favorite_deadly_sins
john_lennon	imagine_film
marty_feldman	in_god_we_trut
dane_cook	tourgasm
maija_digiorgio	bitter_jester
